司法院主管(含財團法人)111年第四季辦理政策及業務宣導之執行情形表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,法普新媒體影片5支之製作與宣傳,司法院111年法治教育溝通採購案,網路媒體,111年10月1日至12月31日,,,司法業務規劃研考,2450000,民視文化事業股份有限公司,以多元型態，製作5部法普影片，主題包含消費者債務清理條例、勞動事件法、ADR等，期以推廣司改政策與基礎法律原則，並拓展法治教育受眾範圍。,網站、Youtube、FB社群平台,
司法院,「國民法官：許效舜篇30秒、60秒、6分15秒」影片廣告、「許效舜×國民法官廣播(福州伯篇30秒)」、「許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒)」(補),111年度逗陣繞法院廉政宣導活動媒體服務勞務採購案,網路+廣播媒體,111年9月21日起,臺灣高等法院,總預算,一般行政,402350,創虹整合行銷有限公司,向民眾廣為宣導,製作費用、司法院官網、許效舜Youtube、Facebook,
,託播「許效舜×國民法官廣播(福州伯篇30秒)」、「許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒)」(補),,廣播媒體,111年9月22日至12月31日,臺灣高等法院,,,0,臺北廣播電台,向民眾廣為宣導,臺北廣播電台,公益託播
,"「國民法官法制度宣傳」6則                   1. 國民法官-夫妻篇（1分26秒）
2. 國民法官-主婦篇（1分41秒）
3. 國民法官-台語篇（1分24秒）
4. 國民法官-追劇篇（1分50秒）
5. 國民法官-選任程序篇（1分34秒）
6. 國民法官-國民法官義務與罰則篇（1分44秒）
(補)",無,廣播媒體,111年10月10日至11月30日,臺灣橋頭地方法院,,,97000,內政部警政署警察廣播電臺(高雄分臺),向民眾廣為宣導,內政部警政署警察廣播電臺(高雄分臺),
,「2022司法影展」活動暨宣傳,司法院111年度司法影展採購案,網路媒體,111年11月1日至12月31日,新聞及法治宣導處,,司法業務規劃研考,2600000,財團法人中華民國電影事業發展基金會,擴大推廣周知「2022司法影展」活動，推廣公民法治教育。,Google、Youtube、FB社群平台,
,「一封來自法庭的邀請函」沉浸式劇場體驗,司法院劇場體驗採購案,,111年11月1日至12月31日,,,,42000,PHi表演工作室,宣傳參與沉浸式劇場，近距離體驗模擬法庭。,網站、FB社群平台,
,「視讀司法」影音巡迴講座,司法影音校園及社區巡迴講座規劃執行採購案,網路媒體,111年11月1日至12月31日,,,司法業務規劃研考,83000,舊視界文化藝術有限公司,以學生為傳播對象，並促進校園師生與偏鄉民眾皆能接觸司法，討論法律議題，奠定法治根基。,網站、FB社群平台,
司法院,網路電視「國民法官普拉斯」製播與宣傳,國民法官虛實整合影音採購案,網路媒體,111年11月1日至12月31日,新聞及法治宣導處,總預算,一般行政,2950000,雅虎數位行銷有限公司,製播國民法官虛實整合網路節目，邀請模擬國民法官與法官模擬開庭，並於網路平台推廣。,Yahoo TV、FB社群平台,
,製作「行政訴訟原告篇」、「民事訴訟原告篇」、「民事訴訟被告篇」、「民事訴訟證人篇」及「勞動調解篇」、「刑事訴訟被害人篇」、「刑事訴訟被告篇」、「刑事訴訟證人篇」宣導影片,司法院製作法院程序及訴訟權益系列宣導影片採購案,"網路媒體
電視媒體","尚未撥放
(預計於112年2月撥放)",,,,6800000,飛豬影業有限公司,向民眾廣為宣導,司法院官網、Youtube、網路媒體、電視媒體,
,製作「司法改革形象廣告」、「訴訟外紛爭解決機制ADR」、「勞動事件制度」、「被害人保護及參與制度」影片(含平面素材)及「訴訟外紛爭解決機制ADR」、「勞動事件制度」、「被害人保護及參與制度」廣播,司法院111年司法政策宣導素材採購案,"網路媒體
電視媒體
廣播媒體
平面媒體","尚未撥放
(預計於112年2月撥放)",,,,6970000,赤兔影像製作有限公司,,司法院官網、Youtube、網路媒體、電視媒體、廣播媒體、平面媒體,
,國民法官:峮峮，這是我們的時刻篇影片-音樂(感動黃潮)授權,無,"網路媒體
電視媒體",111年10月13日至114年12月31日,,,,50000,中國信託育樂股份有限公司,,司法院官網、Youtube、網路媒體、電視媒體,
,製作「國民法官制度」展覽宣傳影片、社群媒體文案及網路宣傳圖文,司法院111年國定古蹟臺南地方法院(司法博物館)「國民法官制度」展覽規劃執行案,網路媒體,111年12月4日起,,,,101000,偶而會有限公司,,司法院官網、Youtube、網路媒體、電視媒體,
,黃子佼國民法官法庭開箱影片 新聞稿上刊,111年國民法官制度網路、平面、家外宣導案,,111年12月2日,,,,0,三立電視股份有限公司,,三立新聞網,加值回饋
,臺南司博館「國民法官制度特展」12/4開展 新聞稿上刊,,,111年12月5日,,,,0,,,三立新聞網、LINE TODAY、引新聞、Yahoo雅虎、POPDAILY波波黛莉、經濟日報、蕃新聞、PCHOME、HiNet、LIFE、match生活網、台北郵報、工商時報,
,財政部111年統一發票盃暨國民法官新制路跑活動 新聞稿上刊,,,111年12月5日,,,,0,,,,
司法院,12/4司博館「國民法官制度特展」開展資訊,111年國民法官制度網路、平面、家外宣導案,網路媒體,111年12月15日、12月16日、12月19日、,新聞及法治宣導處,總預算,一般行政,0,三立電視股份有限公司,向民眾廣為宣導,「我們一家人」、「越柬二代 陳玉旺」、「泰國新住民 章少玲」、「高雄世新住民多元文化市集」等新住民團體FB,加值回饋
,有關國民法官制度公共資訊影音3式,,電視媒體,111年12月4日至12月5日,,,,0,,,三立新聞臺,加值回饋
,臺南司博館「國民法官制度特展」圖文banner,111年國民法官制度電視及廣播媒體宣導採購案,網路媒體,111年12月15日至12月17日,,,,0,民視文化股份有限公司,,社群平台聯播廣告專案（LINE原生廣告、YouTube影音）,加值回饋
,託播「國民法官：吳念真公車站篇」、「國民法官：吳念真賣場篇」、「國民法官：吳念真市場篇」、「國民法官：吳念真小吃店篇」、「國民法官：許效舜篇30秒」影片廣告（各30秒）,無,電視媒體,111年12月20日至112年1月19日,,,,0,行政院新聞傳播處,,台視、中視、華視、民視、客家、原民等六家無線台,行政院公益託播無收費
,託播「許效舜×國民法官廣播(鐵獅玉玲瓏篇30秒)」,無,廣播媒體,111年12月1日至12月31日,,,,0,行政院新聞傳播處,,全國廣播電臺,行政院公益託播無收費
,製作「國民法官，其實我們都可以（完整版）」、「國民法官，其實我們都可以（30秒安心篇）」、「國民法官，其實我們都可以（30秒推薦篇）」宣導影片,"司法院
「國民法官，我們都可以」影片製作案
","網路媒體
電視媒體",111年12月27日起,,,,800000,新視紀整合行銷傳播股份有限公司,,司法院官網、Youtube、網路媒體、電視媒體,
,花蓮地方法院國民法官法庭專區介紹宣導影片(3分5秒)(補),無,網路媒體,111年8月16日起,臺灣花蓮地方法院,,,45000,樂窩音樂坊,,臺灣花蓮地方法院官網Youtube,因第三季漏列，於第四季補列
臺灣臺北地方法院,臺灣臺北地方法院七月六日模擬法庭線上旁聽報名宣傳短片,無,網路媒體,111年7月1日迄今,刑事科,無,無,0,無,向民眾廣為宣導,Youtube平台,因第三季漏列，於第四季補列
,國民法官，台北地院準備好了,無,,111年11月15日迄今,國民法官科,無,無,0,無,,Youtube平台,
財團法人法律扶助基金會,逍遙法外講座活動、宣導影片等,"非採購標案
法扶臉書廣告(10-12月)",網路媒體,111年10月1日至111年12月31日,總會宣導處　,財團法人預算,管理費用,89250,智媒體數位行銷有限公司,,Facebook影音廣告,
,宣傳金門分會法律諮詢業務,"非採購標案
刊登金門日報廣告",平面媒體(報紙),111年10月31日,金門分會,,,360,金門日報社,,金門縣所有訂閱金門日報之機關與民眾,
,,,,111年11月30日,,,,360,,,,
,,,,111年12月16日,,,,360,,,,
,債務清償、人生重來,"採購標案
111年度「台北轉運站燈箱廣告」採購案",平面媒體(燈箱),111年11月1日至111年11月30日,總會宣導處　,,,245000,百官爵廣告有限公司,,使用及經過轉運站之民眾,
,債務清償、人生重來,"採購標案
111年度「台鐵區間車車廂內平面廣告小頭版版位」採購案",平面媒體(海報),111年11月1日至111年11月30日,總會宣導處　,,,585000,台灣鐵道廣告有限公司,,搭乘區間車(涵蓋北中南東區)之民眾,
,宣傳法律扶助業務,"非採購標案
廣播電台廣告託播",廣播媒體,111年11月1日至111年11月14日,台東分會,,,20000,"1.台東之聲廣播電台股份有限公司
2.正聲廣播股份有限公司臺東廣播電臺",,台東縣所有聽電台廣播之民眾,
,宣傳馬祖分會法律扶助申請與諮詢業務,"非採購標案
刊登有線電視跑馬燈廣告",電視媒體(跑馬燈),111年3月15日至111年12月15日,馬祖分會,,,10000,祥通事業股份有限公司,,馬祖連江縣所有使用有線電視系統民眾,

